algorithm,data_distribution,n,repetitions_requested,repetitions_completed,complexity,status,time_limit_seconds,total_time_seconds,average_time_seconds
Count Sort,sorted,1000000,1,1,general,ok,120.00,0.008000000,8.000000000000e-03
Cocktail Shaker Sort,sorted,1000000,1,1,quadratic,ok,60.00,0.003000000,3.000000000000e-03
Gnome Sort,sorted,1000000,1,1,quadratic,ok,60.00,0.048000000,4.800000000000e-02
Insertion Sort,sorted,5000000,1,1,quadratic,ok,60.00,0.246000000,2.460000000000e-01
Selection Sort,sorted,5000000,1,1,quadratic,time_limit_reached,60.00,60.001000000,6.000100000000e+01
Bubble Sort,sorted,5000000,1,1,quadratic,time_limit_reached,60.00,60.000000000,6.000000000000e+01
Merge Sort,sorted,5000000,1,1,general,ok,120.00,1.002000000,1.002000000000e+00
Quick Sort,sorted,5000000,1,1,quick,time_limit_reached,10.00,10.000000000,1.000000000000e+01
Shell Sort,sorted,5000000,1,1,general,ok,120.00,1.899000000,1.899000000000e+00
Count Sort,sorted,5000000,1,1,general,ok,120.00,0.040000000,4.000000000000e-02
Cocktail Shaker Sort,sorted,5000000,1,1,quadratic,ok,60.00,0.008000000,8.000000000000e-03
Gnome Sort,sorted,5000000,1,1,quadratic,ok,60.00,0.237000000,2.370000000000e-01
Insertion Sort,sorted,10000000,1,1,quadratic,ok,60.00,0.469000000,4.690000000000e-01
Selection Sort,sorted,10000000,1,1,quadratic,time_limit_reached,60.00,60.011000000,6.001100000000e+01
Bubble Sort,sorted,10000000,1,1,quadratic,time_limit_reached,60.00,60.004000000,6.000400000000e+01
Merge Sort,sorted,10000000,1,1,general,ok,120.00,2.008000000,2.008000000000e+00
Quick Sort,sorted,10000000,1,1,quick,time_limit_reached,10.00,10.000000000,1.000000000000e+01
Shell Sort,sorted,10000000,1,1,general,ok,120.00,3.691000000,3.691000000000e+00
Count Sort,sorted,10000000,1,1,general,ok,120.00,0.078000000,7.800000000000e-02
Cocktail Shaker Sort,sorted,10000000,1,1,quadratic,ok,60.00,0.017000000,1.700000000000e-02
Gnome Sort,sorted,10000000,1,1,quadratic,ok,60.00,0.448000000,4.480000000000e-01
Insertion Sort,reversed,10,200000,200000,quadratic,ok,60.00,0.113000000,5.650000000000e-07
Selection Sort,reversed,10,200000,200000,quadratic,ok,60.00,0.097000000,4.850000000000e-07
Bubble Sort,reversed,10,200000,200000,quadratic,ok,60.00,0.115000000,5.750000000000e-07
Merge Sort,reversed,10,200000,200000,general,ok,120.00,0.220000000,1.100000000000e-06
Quick Sort,reversed,10,200000,200000,quick,ok,10.00,0.506000000,2.530000000000e-06
Shell Sort,reversed,10,200000,200000,general,ok,120.00,0.159000000,7.950000000000e-07
Count Sort,reversed,10,200000,200000,general,ok,120.00,0.048000000,2.400000000000e-07
Cocktail Shaker Sort,reversed,10,200000,200000,quadratic,ok,60.00,0.082000000,4.100000000000e-07
Gnome Sort,reversed,10,200000,200000,quadratic,ok,60.00,0.947000000,4.735000000000e-06
Insertion Sort,reversed,20,100000,100000,quadratic,ok,60.00,0.127000000,1.270000000000e-06
